continent,country,temperature,temperature_sense,humidity,pressure,speed,clouds,clock,date
europe,france,26.99,29.72,80,1014,1.74,64,09:47:47,24-12-18
europe,england,16.3,16.47,95,1019,3.47,100,09:47:49,24-12-18
europe,germany,6.13,4.51,80,1018,2.19,100,09:47:51,24-12-18
north_europe,sweden,-3.05,-7.34,87,1002,3.18,100,09:47:53,24-12-18
north_europe,norway,-2.39,-6.46,57,1024,3.09,100,09:47:55,24-12-18
north_europe,finland,-17.1,-17.1,97,1011,1.24,9,09:47:57,24-12-18
europe,france,26.99,29.09,73,1014,1.81,75,10:50:34,24-12-18
europe,england,16.54,16.73,95,1019,4.48,100,10:50:36,24-12-18
europe,germany,6.69,4.77,79,1017,2.67,100,10:50:39,24-12-18
north_europe,sweden,-1.91,-7.35,92,1000,5.07,100,10:50:41,24-12-18
north_europe,norway,-2.94,-6.58,51,1025,2.57,100,10:50:43,24-12-18
north_europe,finland,-18.21,-22.09,96,1011,1.34,9,10:50:45,24-12-18
europe,france,27.99,30.01,65,1013,2.11,60,11:49:18,24-12-18
europe,england,16.58,16.8,96,1018,5.16,100,11:49:21,24-12-18
europe,germany,6.97,4.02,71,1017,4.52,100,11:49:23,24-12-18
north_europe,sweden,-1.94,-8.21,95,998,6.58,100,11:49:25,24-12-18
north_europe,norway,-3.15,-6.83,56,1024,2.57,100,11:49:27,24-12-18
north_europe,finland,-15.68,-19.73,92,1011,1.54,26,11:49:29,24-12-18
europe,france,28.99,30.72,58,1013,2.02,55,12:48:35,24-12-18
europe,england,16.7,16.93,96,1018,5.24,100,12:48:37,24-12-18
europe,germany,7.8,4.54,77,1016,5.74,100,12:48:39,24-12-18
north_europe,sweden,-1.57,-7.67,95,996,6.45,100,12:48:41,24-12-18
north_europe,norway,-3.15,-7.83,57,1024,3.6,100,12:48:43,24-12-18
north_europe,finland,-15.04,-19.12,91,1010,1.59,41,12:48:45,24-12-18
europe,france,29.99,31.03,50,1012,2.74,33,13:48:32,24-12-18
europe,england,16.78,17.05,97,1018,5.24,100,13:48:34,24-12-18
europe,germany,8.35,4.91,69,1015,6.7,92,13:48:36,24-12-18
north_europe,sweden,-1.43,-7.54,96,994,6.55,100,13:48:38,24-12-18
north_europe,norway,-2.94,-8.68,55,1024,5.14,100,13:48:40,24-12-18
north_europe,finland,-15.56,-20.09,93,1011,1.76,39,13:48:42,24-12-18
europe,france,30.99,33.43,54,1011,3.72,11,14:50:03,24-12-18
europe,england,15.8,16.02,99,1020,3.03,100,14:50:05,24-12-18
europe,germany,9.19,6.06,64,1014,6.46,100,14:50:07,24-12-18
north_europe,sweden,-0.98,-6.95,96,992,6.51,100,14:50:09,24-12-18
north_europe,norway,-2.94,-9.27,54,1025,6.17,100,14:50:11,24-12-18
north_europe,finland,-17.66,-23.3,93,1010,2.14,94,14:50:14,24-12-18
europe,france,31.99,36.17,57,1010,4.8,21,15:47:49,24-12-18
europe,england,15.57,15.64,94,1021,4.43,100,15:47:51,24-12-18
europe,germany,9.74,6.71,66,1013,6.66,68,15:47:53,24-12-18
north_europe,sweden,-0.63,-6.36,96,990,6.23,100,15:47:55,24-12-18
north_europe,norway,-2.95,-7.59,54,1025,3.6,100,15:47:57,24-12-18
north_europe,finland,-17.1,-23.33,92,1009,2.53,97,15:47:59,24-12-18
europe,france,31.99,38.31,64,1009,5.39,31,16:38:29,24-12-18
europe,england,14.98,14.86,89,1023,4.4,100,16:38:31,24-12-18
europe,germany,10.3,9.27,72,1013,6.85,51,16:38:34,24-12-18
north_europe,sweden,-0.37,-5.66,97,988,5.5,100,16:38:36,24-12-18
north_europe,norway,-2.95,-8.36,55,1025,4.63,100,16:38:38,24-12-18
north_europe,finland,-15.99,-22.35,87,1009,2.75,98,16:38:40,24-12-18
