,clock,continent,temp,pressure,humidity,speed
0,09,europe,16.473333333333333,1017.0,85.0,2.466666666666667
1,09,north_europe,-7.513333333333333,1012.3333333333334,80.33333333333333,2.5033333333333334
2,10,europe,16.74,1016.6666666666666,82.33333333333333,2.986666666666667
3,10,north_europe,-7.686666666666667,1012.0,79.66666666666667,2.9933333333333336
4,11,europe,17.18,1016.0,77.33333333333333,3.9299999999999997
5,11,north_europe,-6.923333333333333,1011.0,81.0,3.563333333333333
6,12,europe,17.83,1015.6666666666666,77.0,4.333333333333333
7,12,north_europe,-6.586666666666666,1010.0,81.0,3.8800000000000003
8,13,europe,18.37333333333333,1015.0,72.0,4.8933333333333335
9,13,north_europe,-6.6433333333333335,1009.6666666666666,81.33333333333333,4.483333333333333
10,14,europe,18.66,1015.0,72.33333333333333,4.403333333333333
11,14,north_europe,-7.1933333333333325,1009.0,81.0,4.94
12,15,europe,19.099999999999998,1014.6666666666666,72.33333333333333,5.296666666666667
13,15,north_europe,-6.8933333333333335,1008.0,80.66666666666667,4.12
14,16,europe,19.09,1015.0,75.0,5.546666666666667
15,16,north_europe,-6.436666666666667,1007.3333333333334,79.66666666666667,4.293333333333333
